address,microstx
12JLpSCRrxxn3feyvnGiPWPAtsMqjHkKW6,69202778
12JW9aarQrC9j6Xp97VtA1oGawWK3ttknd,875000
12K6Awp8wzaWj6hVsbNagicCDDXMAC7P47,1029350695
12KCVZnKSauKJN5E56Gp4zJ6GNk387X1M4,69444445
12KUDg3jJXAiMyTrUZM5Ft4gUjBz3bXvzX,744717458337
12KjKCGA9qjAwNrfDmcPQCsMLSzLHkJEyN,1025288195
12KyxvwuoLoV4bt8zssCbRoPjnVgih2cX2,69588889
12L2D4Rf8EtVKWcFDittvyRt2u9SaZgCmg,2005030556
12LDix1c9zVbEnGn1rtsPNjpfHuzisNLsy,1038250000
12LJgs9gCdokFPZaeTci5WafTRoyPEftPy,83333334
12LVhZVrGKyAviAPxX4x2eS4H5dN16hXeh,13888889
12LoNoAVXSH4VUX8EXziNKRzr6Fo3ZZYUw,1166007375000
12Lvq5xMPA6RN8EgpUyHLNW9HeTRPywrLX,0
12LxuX9s1rGspuj9HcAW4Kr6PU5rNCiCbk,45249208337
12MHy6cBbBJi1m8wf57LTqp4PoZDTsrs2N,154337500
12MM2vRwnWWaHDspN5DarQDa9yBrbCuYvi,1042370834
12MTu6z8nen8ghodnEBjm6gw1EzEavjnmn,27777778
12MjAugRNNMZeQPU1bwubAVWUsC4XHPCeT,41666667
12Nv9gT4Hba6ey1zK16q4WSFRPPavt3fmW,12004000000
12NvJQ2CrE6c32LJd3mnnQJyXQA98RQfXk,45138708337
12P3wN6Mm4JcpCnpekRbGeHbSWpkZNn3yX,25060326389
12P9ScCfsocBP2PbqVqXhoz7L16DHrwQTZ,1039104167
12PUfB3BuLpctkreZfM89a54LjKxsC7S14,1035593750
12ParMVtv4RwcrRvCfbK9YcYTrgcQ2espD,34722223
12PwLSwPBkHeS1PBzYXjxtxHis4Cah2tmY,1029309028
12Pwxss8RniTuuUx23HBzxXw7hNrCXiNry,22639500000
12Py2b8ShHETcKTCeAvxGq5V4szYSKJ9SU,291667
12QHc4u5N7tLxLGgPbErWo8EULDo9MC9LG,140100000
12QPQasBJCRLymzApuctUbBQPVaFGpVDin,694444445
12QdLZAqFrbSDn9XZ1uRi8UmeGYTiFytnJ,347222223
12Qp1JazfVL46S8bbpA1n5UkSCnVGjgLMQ,135548612
12Qv67exGFzqYTYyB6eTwG8NTnsBToGm9V,111112
12REBqhLsa45ghcrPgYNPMqw8FFuv7rm2A,208333334
12RJHcgWvtHWeKrqVxMDRWiZNPZsVvFNfu,347222223
12RhXsfw1NPrnkdNbUD93wjWnPcr9WzM3J,14176389
12RoFKQYkTg7kPpVKmjkSdqjqUsH69GGS1,4167
12Ryrdbkqdoscnw2hi9LzQH7GS3ikwA7Yy,13559000000
12S8FxrTPy8W7kmo6XoQJeRKivsQBsZrk2,139420139
12SAnHC324P25nGTnJSjRSGZ3HahxUpsEr,52083334
12SyHiQrFdn5nZxXFGws5JjyJy8ZLssGaA,0
12T6rKoi6aK9VikY4ViBqPzTLTfX4xPu23,33854166671
12T9fFJodCvEkpw8hS7tPwvdX4qmw4ccG2,138888889
12TdC56cevLvqrfRP1C1w9zQXsBKnPyirL,41669375000
12Tnix8hdafuQugmy55NEUaqBnTJg1ss9o,0
12Uekq1HkRNyBA8AMXKTE5J86A7GJ9QfR8,1035395834
12Urm2PoA821Ljk8TNMMZnnonjXEdeyUND,22569625000
12UskEMm6wxPzzRcLqAVu3oL9ng4wLNBLB,14722223
12Uyu4TwJPTDAwQVtnpzVoN1ixjjY9ehAX,19445
12VjFXCiaADsfuBK4XGiRznQNnDh5nyBb9,1047761112
12VoHXbUi4kt4shEiYfxdQEam7f3Dfbcdj,48251389
12VoMMJjYFcq2GufKzJ8DP5cEAAfN9todA,1000000
12VpTmFUU8z9rXB7Q4PtHYgFQXTTWxJMjW,1041666667
12WBDZ21nS2MPahHDcf3FCYLWXqBBHuwht,13888889
