lock_send_date,address,lock_send,metadata,receive_whitelisted,type,value,vesting,vesting_total
2018-12-20T02:56:55-05:00,SPMN922MPG2RQB5ZE8FAVAHQ1K8JRSMXD4QYA4X1,555217,e1868fc2b210c4cc06b5db7cb358752e637a1f544baca957f36c9c09497a3783,true,STACKS,0,[object Object],1666665000000
2018-12-20T02:56:55-05:00,SP26WBSHPV2JM90VZPM9JAEXYZR1FRPBHRWFEW17W,555217,e1868fc2b210c4cc06b5db7cb358752e637a1f544baca957f36c9c09497a3783,true,STACKS,0,[object Object],3605605000000
2019-02-21T02:56:55-05:00,SP1B7WA0CX803M8BX28AWQ0MRK9PDYZ0E0NS8WJC9,564289,e1868fc2b210c4cc06b5db7cb358752e637a1f544baca957f36c9c09497a3783,true,STACKS,0,[object Object],554865000000
2019-02-21T02:56:55-05:00,SP18VKYK0HXXNQBX1BED93NGJM4MKY8XMJ1SHPBJK,564289,e1868fc2b210c4cc06b5db7cb358752e637a1f544baca957f36c9c09497a3783,true,STACKS,0,[object Object],328195000000
2018-12-20T02:56:55-05:00,SP21WH7X58H7J75FBKCP0EQ030Y320AHJV6ASVA1H,555217,e1868fc2b210c4cc06b5db7cb358752e637a1f544baca957f36c9c09497a3783,true,STACKS,0,[object Object],215574000000
2018-12-20T02:56:55-05:00,SP14ATXSQW9Z5CZCHT2XXCBG66ZXMY3G81F49Y6MD,555217,e1868fc2b210c4cc06b5db7cb358752e637a1f544baca957f36c9c09497a3783,true,STACKS,0,[object Object],188517000000
2018-12-20T02:56:55-05:00,SPZ31W4TB3QWQWVG90VAR6G1A4EWV8DREFNF6E2T,555217,e1868fc2b210c4cc06b5db7cb358752e637a1f544baca957f36c9c09497a3783,true,STACKS,0,[object Object],1154185000000
2018-12-02T02:56:55-05:00,SP1JTTRJ7HZ8KAZ59HQ4J7WHCCPRW35Y5KBPJ5S85,552625,e5152226500bb8a777c8dde35dc3a6b1ad12c11e6accbaae2877a6baca1611e1,true,STACKS,0,[object Object],158333000000
2018-12-02T02:56:55-05:00,SP20JP55PTASXDR7J9K6ZR629WGASKQFW7X1M4HPK,552625,7e854fa215b60cc10b04cf3501c6234dc56209654d826eeebb228f9bf32884bd,true,STACKS,0,[object Object],83333000000
2018-12-02T02:56:55-05:00,SP9B0JGYFZ264QPTRDGEN40E6YABWZWT130HQ096,552625,e713c05029c5f17dd61bed5b816fe9d75be7d58ba4e516e6cf08e100976c53bf,true,STACKS,0,[object Object],83333000000
